timestamp [ns],gaze x [px],gaze y [px],azimuth [deg],elevation [deg]
1760637399660419161,897.5068359374999,226.4008026123047,3.5935512631623014,21.873018901527473
1760637399665417161,898.609375,225.92237854003906,3.668819947815842,21.903115674285722
1760637399670416161,900.9039306640625,226.1493682861328,3.8241111287852516,21.887296854130767
1760637399675416161,902.6614379882811,225.7006072998047,3.9437897034222154,21.91507066761874
1760637399680416161,906.1762695312501,228.10983276367188,4.179028248626625,21.758480124718037
1760637399685416161,913.7681884765625,233.25331115722645,4.6861697945000715,21.423746897380497
1760637399690416161,915.1650390625001,233.09140014648438,4.780884027720638,21.433156617830445
1760637399695419161,915.8313598632812,231.44912719726562,4.828292370749696,21.53797195632109
1760637399700415161,916.0396118164062,230.43389892578125,4.843844711489815,21.602906436481113
1760637399705418161,918.0541381835938,231.99317932128918,4.977921324897165,21.50148664489308
1760637399710415161,918.8762817382812,233.0595703125001,5.031968611799477,21.43252061682598
1760637399715415161,920.9509887695311,233.73606872558594,5.171283980300227,21.38759713164758
1760637399720415161,924.7468261718749,233.93270874023438,5.4276687911749955,21.372028778063235
1760637399725540161,927.6224365234375,234.61631774902344,5.620997295632207,21.325873635282733
1760637399730422161,928.6304321289062,234.39306640625,5.689510923196604,21.339339983795895
1760637399735539161,933.5975952148438,238.5774383544923,6.018056682652557,21.066924573352193
1760637399740539161,936.7587280273436,241.17764282226562,6.226903376904038,20.897488496290165
1760637399745539161,938.6333618164062,240.78573608398438,6.354095159628015,20.920879371733104
1760637399750539161,939.6341552734375,240.5919647216797,6.421973579599602,20.93235945931264
1760637399755539161,940.6492309570312,239.9976043701172,6.4915663770528615,20.969477950796517
1760637399760539161,941.1802978515626,241.8587646484375,6.523975624664572,20.849744489468872
1760637399765539161,940.8780517578125,242.50946044921875,6.5023922268873315,20.808344942479184
1760637399770538161,941.1134033203124,242.0040740966797,6.519194492245563,20.84049824998891
1760637399775538161,943.1270141601562,237.42674255371094,6.663673483758843,21.131767126407023
1760637399780538161,943.5657348632812,237.10115051269543,6.693931221781999,21.152188967568378
1760637399785548161,945.717041015625,237.7308807373047,6.837993571755908,21.10971136075953
1760637399790538161,944.2349243164064,235.5020294189453,6.7422274894031595,21.253945478113973
1760637399795538161,944.0680541992186,233.84968566894543,6.734167866182545,21.359938133318106
1760637399800542161,943.3375854492188,230.2639923095703,6.691800202760955,21.590313787934406
1760637399805537161,943.3981933593749,228.40225219726562,6.6995797882256,21.709482528428357
1760637399810537161,942.6688842773438,229.90701293945312,6.647240048615792,21.613844043565265
1760637399815537161,943.2368164062501,230.41519165039062,6.684683145645802,21.58073042754052
1760637399820537161,946.6780395507814,231.6259002685547,6.9150859169178425,21.49969359207643
1760637399825537161,950.1693115234375,230.9285888671875,7.152701367953416,21.540665026301603
1760637399830537161,951.1039428710938,230.8354492187499,7.216126504586154,21.545621941073712
1760637399835536161,951.4405517578124,230.94049072265625,7.238672959036366,21.538532275861204
1760637399840542161,952.344482421875,230.65634155273438,7.300431529511622,21.555737649826007
1760637399845536161,954.9478759765625,231.66664123535156,7.474348636347656,21.48817915036249
1760637399850536161,956.0431518554686,231.9565887451172,7.547786830303633,21.468388309700508
1760637399855661161,956.5761108398438,232.01475524902344,7.5836999649595604,21.464061979034756
1760637399860661161,957.776123046875,232.75296020507812,7.663203366898509,21.41544437841833
1760637399865660161,960.2265624999999,234.78033447265625,7.8242728879057495,21.282861438399518
1760637399870660161,960.0160522460938,235.4429473876953,7.8085566226255505,21.24069932736455
1760637399875660161,959.3937988281249,234.3627471923828,7.768941525439476,21.31055278984519
1760637399880660161,960.407958984375,234.6812744140625,7.836751643519363,21.288988403572585
